target,feature_count,features,split,held_out_group,n_usable,n_train,n_test,test_positive_rate,accuracy,balanced_accuracy,mean_positive_probability
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_content_family_out,church,20,15,5,0.4,0.4,0.3333333333333333,0.42189949657194
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_content_family_out,city,20,19,1,0.0,1.0,,0.12122876387271533
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_content_family_out,coast,20,19,1,0.0,1.0,,0.11996923059551047
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_content_family_out,forest,20,18,2,0.0,1.0,,0.09071792951969677
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_content_family_out,lake,20,14,6,0.0,1.0,,0.1829741241064291
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_content_family_out,snow,20,19,1,0.0,1.0,,0.19563325946557508
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_content_family_out,wave,20,16,4,0.25,0.75,0.5,0.08798510327085934
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_reference_family_out,demuth,20,15,5,0.2,0.8,0.5,0.08981626117807043
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_reference_family_out,hokusai,20,17,3,0.3333333333333333,0.6666666666666666,0.5,0.09922922118839596
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_reference_family_out,kulhanek,20,16,4,0.0,1.0,,0.16313225829268718
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_reference_family_out,monet,20,17,3,0.0,1.0,,0.2022709187486186
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_reference_family_out,peixotto,20,18,2,0.5,0.5,0.5,0.1114664527845878
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean+dino_patch_nearest_p10,leave_one_reference_family_out,van_gogh,20,17,3,0.0,0.6666666666666666,,0.35713246382723524
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,church,23,18,5,0.6,1.0,1.0,0.5365063932783067
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,city,23,21,2,0.0,1.0,,0.4087740072121273
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,coast,23,22,1,1.0,1.0,,0.6645834479927983
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,forest,23,19,4,0.25,0.25,0.5,0.5563044150901424
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,lake,23,17,6,0.16666666666666666,0.8333333333333334,0.5,0.33015461471901564
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,snow,23,22,1,1.0,0.0,,0.4851918372461725
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,wave,23,19,4,0.75,0.25,0.5,0.24947867260960407
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,demuth,23,18,5,0.6,0.6,0.6666666666666666,0.35172427943456835
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,hokusai,23,19,4,0.5,0.75,0.75,0.4142966826073957
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,kulhanek,23,19,4,0.75,0.5,0.6666666666666666,0.4346982556360858
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,monet,23,18,5,0.2,0.6,0.375,0.4110917252346602
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,peixotto,23,21,2,0.0,0.5,,0.38753493610832146
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,van_gogh,23,20,3,0.3333333333333333,0.6666666666666666,0.75,0.547116306678458
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,church,23,18,5,0.6,1.0,1.0,0.6041263515624966
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,city,23,21,2,0.0,0.5,,0.5041920489046571
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,coast,23,22,1,1.0,1.0,,0.6095078053218775
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,forest,23,19,4,0.25,0.75,0.8333333333333333,0.4944742761198
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,lake,23,17,6,0.16666666666666666,0.8333333333333334,0.5,0.2340306571799002
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,snow,23,22,1,1.0,1.0,,0.5563777303492804
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,wave,23,19,4,0.75,0.25,0.5,0.28774174864818586
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,demuth,23,18,5,0.6,0.4,0.3333333333333333,0.7713648730248182
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,hokusai,23,19,4,0.5,0.75,0.75,0.3758675921470453
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,kulhanek,23,19,4,0.75,0.5,0.6666666666666666,0.452550564877072
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,monet,23,18,5,0.2,0.8,0.5,0.26667446082537294
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,peixotto,23,21,2,0.0,0.5,,0.35553257975602537
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,van_gogh,23,20,3,0.3333333333333333,1.0,1.0,0.4393470783874618
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,church,23,18,5,0.6,0.6,0.5,0.6676453187815474
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,city,23,21,2,0.0,0.5,,0.5346560472122783
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,coast,23,22,1,1.0,1.0,,0.6084292229761091
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,forest,23,19,4,0.25,0.75,0.8333333333333333,0.47368769081378326
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,lake,23,17,6,0.16666666666666666,0.8333333333333334,0.5,0.04798437452883094
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,snow,23,22,1,1.0,1.0,,0.5594728849020681
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,wave,23,19,4,0.75,0.25,0.5,0.2791385014996606
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,demuth,23,18,5,0.6,0.4,0.3333333333333333,0.7284227358127341
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,hokusai,23,19,4,0.5,0.75,0.75,0.3770460385958007
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,kulhanek,23,19,4,0.75,0.5,0.6666666666666666,0.4250513134969439
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,monet,23,18,5,0.2,0.8,0.5,0.3020537324196012
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,peixotto,23,21,2,0.0,0.5,,0.3695081129511558
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,van_gogh,23,20,3,0.3333333333333333,1.0,1.0,0.43632702580817
